Question;Answer;CorrectAnswer;MultiAnswer
Вопрос 11;ответ что то там 1;true;false
;ответ что то там 2;false;
;ответ что то там 3;false;
;ответ что то там 4;false;
вопрос 12;ответ что то там 5;false;false
;ответ что то там 6;false;
;ответ что то там 7;true;
;ответ что то там 8;false;
вопрос 13;ответ что то там 9;false;false
;ответ что то там 10;false;
;ответ что то там 11;false;
;ответ что то там 12;true;
вопрос 14;ответ что то там 13;false;true
;ответ что то там 14;true;
;ответ что то там 15;false;
;ответ что то там 16;true;
